,"Citations","Chemin","Conditions d'accès","Contact du support de l'outil","Description","Input","License","Lien vers l'outil","Mots clés","Output","Pré-requis d'utilisation","Système d'exploitation","Type de logiciel","Téléchargements","Version du logiciel","Visites annuelles","Visites uniques","Responsable scientifique","Titre"
"KAKSI","84",,"Le logiciel peut-être téléchargé gratuitement sur http://migale.jouy.inra.fr/sites/all/downloads/Migale/Outils/kaksi.tarba...
",,"KAKSI est un programme d'assignation de la structure secondaire des protéines. L'assignation des structures secondaires : l'hélice alpha (H), les brins bêta (b), les tournants (T) et les structures apériodiques (C) est effectuée sur la base des distances entre les carbones alpha et des angles phi et psi de la chaîne principale. Le programme calcule aussi la courbure de la chaîne principale.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"GOR IV","1021",,"Le logiciel peut être téléchargé gratuitement sur le site http://migale.jouy.inra.fr/sites/all/downloads/Mig/Logiciels/GOR_IV.tar.gz
",,"OR IV est un programme de prédiction de la structure secondaire des protéines. 3 états sont pris en considération : l'hélice alpha (H), les brins bêta (b) et les structures apériodiques (C). Ce programme est basé sur des considérations statistiques issues de la théorie de l'information. Il n'utilise pas d'alignement multiple. Il fournit un résultat Q3 de 65%.
",,,,,,,,,,,,,"Schbath Sophie","MIGALE"
"Portail Galaxy de la plateforme MIGALE ","1",,"Accès gratuit avec un compte à http://migale.jouy.inra.fr/galaxy/
",,"Mise en ligne d’outils et de workflows.
Mise à jours en janvier 2015
",,,,,,,,,,,"588722 an",,"Schbath Sophie","MIGALE"
"IGO",,,"Accès gratuit à http://migale.jouy.inra.fr/IGO
",,"IGO est un portail permettant de croiser des informations entre différents outils de l’unité (Insyght, Mosaic, Prose, Pareo, Subtilis Expression Browser)
",,,,,,,,,,,"250 an",,"Schbath Sophie","MIGALE"
"AGMIAL","71",,"Le logiciel peut être téléchargé gratuitement sur le site http://genome.jouy.inra.fr/agmial. Il est également possible de demander l’installation d’une instance d’AGMIAL sur les machines de la plate-forme MIGALE.
",,"AGMIAL, plate-forme d’annotation de génomes microbiens.
Bryson K, Loux V, Bossy R, Nicolas P, Chaillou S, van de Guchte M, Penaud S, Maguin E, Hoebeke M, Bessières P, Gibrat JF: AGMIAL: implementing an annotation strategy for prokaryote genomes as a distributed system. Nucleic Acids Res 2006, 34:3533–3545.
",,,"http://genome.jouy.inra.fr/agmial/","Génomique (DNA-seq), Analyse de génomes, Annotation structurale et fonctionnelle des génomes",,,,,,,"6000 an",,"Schbath Sophie","MIGALE"
"MicroScope","910","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/MicroScope_logo.png","Free for academics.
Sales quote available on demand for non-academics 
Service features:
Microbial genome annotation (complete, WGS or metagenome-assembled genomes)
Comparative genomics and pangenomics
Function and biological process predictions
Metabolic network reconstruction 
Analysis of transcriptomics data
Variant calling of evolved strains
Technical support
Trainings on prokaryotic genome annotation  and on the curation of metabolic networks 
More details here.
",,"Located at Genoscope (CEA sequencing center for environmental genomics), the LABGeM bioinformatics team has developed MicroScope, a web-based platform for prokaryotic genome analysis and expert functional annotation.
MicroScope combines tools and graphical interfaces to analyze genomes and to perform manual curation of gene function in a comparative and metabolic context.
This platform provides data from completed and ongoing genome projects together with post-genomic experiments (i.e. transcriptomics, re-sequencing of evolved strains) allowing users to improve the understanding of gene functions. Expert annotations are continuously gathered in the MicroScope database contributing to the improvement of the quality of microbial genome annotations, and thus to the predicted metabolic networks.
MicroScope can be used as a community resource for comparative analysis and annotation of publicly available genomes but also as a private resource with restricted access rights on genomic data. In addition, we regularly hold professional trainings sessions on the use of MicroScope platform.
 
",,,"https://www.genoscope.cns.fr/agc/microscope","Analyse de données de séquençage NGS, Alignements de lectures sur des génomes, Génomique (DNA-seq), Analyse de génomes, Annotation structurale et fonctionnelle des génomes, Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Analyse de variants, Génomes complets, Métagénomique, métatranscriptomique, Analyse de séquences, Algorithmique des séquences, Alignement (multiple) de séquences, Annotation de séquences, Recherche de motifs, Prédiction d'homologie/orthologie, Biologie des systèmes, Modélisation des réseaux métaboliques, Outils, Intégration d'outils, Interopérabilité, Interfaces, portails web, Développement de workflows, Données, Intégration de données, Gestion et transfert de données, Bases de données et systèmes d’informations, Environnements de calcul, Cluster, Parallélisation, Génomique comparative, Comparaison des génomes, Comparaison des voies fonctionnelles et régulatrices",,,,,,,"55000 an","11000 an","Medigue Claudine, Vallenet David","MicroScope"
"SCA",,,"Programme fourni sur demande.
",,"SCA (Similarity Core Analysis) is a computational framework for extracting the core molecular features, such as mRNA or miRNA signatures, common to tumors and corresponding cell lines.
",,,,,,,,,,,,,"Gautheret Daniel","IGR"
"VCF2HTML ",,,"Script documenté sur demande.
",,"A visualization and filtering tool for multiple VCF (variant) datasets.
",,,,,,,,,,,,,"Gautheret Daniel","IGR"
"DEVA ",,,"Accès : web server, https://galaxy.gustaveroussy.fr/galaxyprod
",,"Detection of variants from NGS data. Pipeline for variant detection adapted to exon capture from clinical DNA samples. Special options for germline or somatic variants are provided. Interface is available in command line or Galaxy system. Output from mutliple samples can be visualized and filtered using web-based interface.
",,,,,,,,,,,,,"Gautheret Daniel","IGR"
"Galaxy-public",,,"Académiques
",,"Serveur Galaxy général
",,,,,,,,,,,"208752 an","136 an","Barillot Emmanuel","Institut Curie"
"Nebula","7",,"Académiques
",,"Serveur Galaxy dédié aux analyses de ChIP-seq
",,,,,,,,,,,"2815653 an","7384 an","Barillot Emmanuel","Institut Curie"
"SynteView ","10","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ebio.png","Java web start, http://www.synteview.u-psud.fr/ Gratuit pour u-psud.
",,"synteny of 600 completely sequenced genomes and compared between them.
",,,"http://www.synteview.u-psud.fr","Alignement (multiple) de séquences, Prédiction d'homologie/orthologie, Comparaison des génomes",,,,,,,"684 an","396 an","Gautheret Daniel","EBIO"
"FITBAR ","22","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ebio.png","Web server + web service, http://archaea.u-psud.fr/synttax Gratuit pour u-psud.
",,"Web server linking synteny to prokaryotic taxonomy.
",,,"http://archaea.u-psud.fr/fitbar/","Analyse de séquences, Annotation de séquences, Recherche de motifs",,,,,,,"364 an","299 an","Gautheret Daniel","EBIO"
"SyntTax ","37","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ebio.png","Web server + web service, http://archaea.u-psud.fr/synttax Gratuit pour u-psud.
",,"Web server linking synteny to prokaryotic taxonomy.
",,,"http://archaea.u-psud.fr/synttax/","Prédiction d'homologie/orthologie, Gènes et génomes",,,,,,,"3829 an","1707 an","Gautheret Daniel","EBIO"
"Absynte ","24","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ebio.png","web server + web service, http://archaea.u-psud.fr/absynte Gratuit pour u-psud.
",,"Web service designed to display local syntenies in completely sequenced prokaryotic chromosomes. FR
",,,"http://archaea.u-psud.fr/absynte","Analyse de séquences, Interfaces, portails web, Comparaison des génomes",,,,,,,"940 an","373 an","Gautheret Daniel","EBIO"
"ARNold ","64","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ebio.png","web server, http://rna.igmors.u-psud.fr/toolbox/arnold/ Gratuit pour u-psud.
",,"Easy identification of Rho–independent transcription terminators.
",,,"http://rssf.i2bc.paris-saclay.fr/toolbox/arnold/index.php","Annotation de séquences, Recherche de motifs, Analyse des structures, recherche d'homologues et de motifs structuraux",,,,,,,"8011 an","5792 an","Gautheret Daniel","EBIO"
"GenRGenS ","65","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ebio.png","Jar + tar.gz download, http://www.lri.fr/~genrgens/ Gratuit pour u-psud
",,"Software tool dedicated to randomly generating genomic sequences and structures
",,,"https://www.lri.fr/~genrgens/","Algorithmique des séquences, Recherche de motifs, Analyse des structures, recherche d'homologues et de motifs structuraux",,,,,,,,,"Gautheret Daniel","EBIO"
"ERPIN","216","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ebio.png","http://rna.igmors.u-psud.fr/Software/erpin.php Gratuit pour u-psud
",,"Easy RNA Profile IdentificatioN tool, an RNA motif search program.
",,,"http://rssf.i2bc.paris-saclay.fr/Software/erpin.php","Algorithmique des séquences, Annotation de séquences, Recherche de motifs, Analyse des structures, recherche d'homologues et de motifs structuraux",,,,,,,"415 an","350 an","Gautheret Daniel","EBIO"
"CRISPRFinder","648","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ebio.png","web sever, http://crispr.u-psud.fr/Server/CRISPRfinder.php/ Gratuit pour u-psud
",,"Easy detection of CRISPRs (Clustered Regulary Interspacing Short Palindromic Repeats) in user-submitted sequence data (allows sequences up to 67,000,000 bp)
",,,"http://crispr.i2bc.paris-saclay.fr/Server/","Annotation de séquences, Recherche de motifs",,,,,,,"2273 an","480 an","Gautheret Daniel","EBIO"
"VARNA","432","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ebio.png","Fichier .jar a télécharger sur Java applet, http://varna.lri.fr/ Gratuit pour u-psud
",,"Dessin interactif
",,,"http://varna.lri.fr/","Aucun des termes ci-dessus ne convient",,,,,"1392",,"1422 an","9219 an","Gautheret Daniel","EBIO"
