"Nom de la formation","Chemin","Type de formation","Cours résumé","Description","Mots clés","Date de la session","Date de la session","Conditions d'accès à la formation","Lien vers la formation","Lieu de la formation","Organisateurs","Sponsors","Nombre de personnes formées","Nombre de participants académiques","Nombre de participants non-académiques","Nombre de jours","Participation","Niveau de formation (formations universitaires uniquements)","Opérateur de la formation","Nombre de sessions","Reccurance","Taux de satisfaction des apprenants","Temps de formation","Thème (formations professionnelles uniquement)"
"Cycle « Analyse de données de séquençage à haut-débit » - Module 5/5 : Métagénomique","https://www.france-bioinformatique.fr/sites/default/files/logo_bilille_complet_120_120_6.png"," Formation professionnelle","Formation ""Métagénomique""","bilille propose chaque année un cycle de formation d'introduction à l'analyse des données de séquençage à haut débit.
Ce cycle est composé de 5 modules, à la carte : 
- Module 1: Analyses ADN
- Module 2: Analyses de variants
- Module 3: Analyses RNA-seq, bioinformatique
- Module 4: Analyses RNA-seq, biostatistique
- Module 5: Métagénomique
Les fiches descriptives sont accessibles sur le site de bilille. Chaque module comprend des présentations générales et des séances pratiques sur ordinateur, avec Galaxy.
Les objectifs du module 5 sont :
- Connaître les différentes méthodes de séquençage à haut débit pour la métagénomique, avec leurs avantages et leurs limites : métagénomique ciblée, métagénomique génomes entiers, métatranscriptomique
- Comprendre les différentes étapes analytiques du traitement bioinformatique des données et savoir les mettre en œuvre
- Savoir conduire une analyse statistique pour l’estimation de la richesse de la biodiversité
- Aller jusqu’aux conclusions biologiques
Contacts: Guillaume Brysbaert, Ségolène Caboche, Sylvain Legrand (mails)
","Analyse de données de séquençage NGS, Assemblage de génomes et transcriptomes, Alignements de lectures sur des génomes, Métagénomique, métatranscriptomique","","20-11-2019 to 22-11-2019","- Etre familier avec la plate-forme web Galaxy (idéalement avoir suivi la formation bilille « Initiation à Galaxy »)
- Avoir suivi le module 1/5 « Analyses ADN » de ce cycle ou toute autre formation permettant de justifier de connaissances sur les données de séquençage haut débit et leur alignement. Etre familier avec le vocabulaire et les étapes de base de l’analyse de données de séquençage : nettoyage, assemblage, mapping
","https://wikis.univ-lille.fr/bilille/formation","Université de Lille","","","12/ an","","","3.00","","","","1","","100%","3 jours / an","Analyse des données NGS, Metagénomique"
"Cycle « Initiation à la bioinformatique » - Module 1/4 : Banques de données et Blast","https://www.france-bioinformatique.fr/sites/default/files/logo_bilille_complet_120_120.png"," Formation professionnelle","Formation ""Banques de données et BLAST""","bilille propose un cycle de découverte de la bioinformatique à destination des chercheurs, enseignants-chercheurs, ingénieurs, techniciens et doctorants en biologie. Aucun pré-requis en informatique n'est attendu.
Le cycle est constitué de quatre modules de deux jours:
- Banques de données et BLAST
- Alignement de séquences
- Prédiction de gènes et annotation de protéines
- Initiation à la reconstruction phylogénétique en biologie moléculaire
Ces modules peuvent être suivis indépendamment, mais ont une cohérence. Suivre chaque module peut aider à une meilleure compréhension des modules suivants.
Les fiches descriptives des différents modules sont accessibles sur le site web de bilille.
Les objectifs du module 1 sont :
- Découvrir différentes banques de données de séquences généralistes
- Savoir interroger les banques de données et réaliser des requêtes pertinentes
- Comprendre la structure des données
- Savoir utiliser de manière optimale le logiciel Blast en fonction de l'application visée (ex : recherche d’homologie, prédiction de gènes…)
- Etre capable d'analyser un résultat avec un regard critique
Contacts: Guillaume Brysbaert, Ségolène Caboche, Sylvain Legrand (mails)
","Analyse de séquences, Alignement (multiple) de séquences, Bases de données et systèmes d’informations","","","Savoir utiliser un ordinateur (Windows...) : naviguer sur internet (Internet Explorer ou Firefox), utiliser un traitement de texte (Word ou OpenOffice).
","https://wikis.univ-lille.fr/bilille/formation","Université de Lille","","","12/ an","","","2.00","","","","1","","100%","2 jours / an","Autre"
"Cycle « Initiation à la bioinformatique » - Module 2/4 : Alignement de séquences","https://www.france-bioinformatique.fr/sites/default/files/logo_bilille_complet_120_120_2.png"," Formation professionnelle","Formation ""Alignement de séquences""","bilille propose un cycle de découverte de la bioinformatique à destination des chercheurs, enseignants-chercheurs, ingénieurs, techniciens et doctorants en biologie. Aucun pré-requis en informatique n'est attendu.
Le cycle est constitué de quatre modules de deux jours:
- Banques de données et BLAST
- Alignement de séquences
- Prédiction de gènes et annotation de protéines
- Initiation à la reconstruction phylogénétique en biologie moléculaire
Ces modules peuvent être suivis indépendamment, mais ont une cohérence. Suivre chaque module peut aider à une meilleure compréhension des modules suivants.
Les fiches descriptives des différents modules sont accessibles sur le site web de bilille.
Les objectifs du module 2 sont :
- Découvrir les différents types d'alignement pour les séquences protéiques et nucléiques
- Savoir choisir le logiciel et les paramètres adaptés à une problématique (alignement local, global, multiple...)
- Comprendre les méthodes algorithmiques pour l'alignement de séquences
- Comprendre les paramètres des logiciels
- Etre capable d'analyser un résultat d'alignement avec un regard critique
Contacts: Guillaume Brysbaert, Ségolène Caboche, Sylvain Legrand (mails)
","Analyse de séquences, Algorithmique des séquences, Alignement (multiple) de séquences, Recherche de motifs","","","- Savoir utiliser un ordinateur (Windows…) : naviguer sur internet (Internet Explorer ou Firefox), utiliser un traitement de texte (Word ou OpenOffice).
- Etre familier avec les banques de données, Blast et formats de séquences (idéalement avoir suivi le module 1/4 « Banques de données et Blast » du cycle d'initiation à la bioinformatique).
","https://wikis.univ-lille.fr/bilille/formation","Université de Lille","","","12/ an","","","2.00","","","","1","","100%","2 jours / an","Autre"
"Cycle « Initiation à la bioinformatique » - Module 3/4 : Prédiction de gènes et annotation de protéines","https://www.france-bioinformatique.fr/sites/default/files/logo_bilille_complet_120_120_7.png"," Formation professionnelle","Formation ""Prédiction de gènes et annotation de protéines""","bilille propose un cycle de découverte de la bioinformatique à destination des chercheurs, enseignants-chercheurs, ingénieurs, techniciens et doctorants en biologie. Aucun pré-requis en informatique n'est attendu.
Le cycle est constitué de quatre modules de deux jours:
- Banques de données et BLAST
- Alignement de séquences
- Prédiction de gènes et annotation de protéines
- Initiation à la reconstruction phylogénétique en biologie moléculaire
Ces modules peuvent être suivis indépendamment, mais ont une cohérence. Suivre chaque module peut aider à une meilleure compréhension des modules suivants.
Les fiches descriptives des différents modules sont accessibles sur le site web de bilille.
Les objectifs du module 3 sont :
- découvrir les logiciels liés à la prédiction de gènes et à l'annotation de protéines
- acquérir la méthodologie pour prédire les gènes présents sur un génome qu'il soit bactérien ou eucaryote
- acquérir la méthodologie pour analyser la séquence protéique prédite et en déduire la fonction possible de la protéine, avoir une idée de sa localisation cellulaire et de sa structure
- être capable d'analyser les résultats obtenus par les logiciels avec un regard critique
Contacts: Guillaume Brysbaert, Ségolène Caboche, Sylvain Legrand (mails)
","Analyse de séquences, Annotation de séquences, Recherche de motifs, Protéomique, Inférence de protéine et validation","","","- Savoir utiliser un ordinateur (Windows...) : naviguer sur internet (Internet Explorer ou Firefox), utiliser un traitement de texte (Word ou OpenOffice).
- Être familié avec les banques de données, Blast, formats de séquences et alignements de séquences (idéalement avoir suivi le module 1/4 « Banques de données et Blast » et le module 2/4 « Alignements de séquences » du cycle d'initiation à la bioinformatique).
","https://wikis.univ-lille.fr/bilille/formation","Université de Lille","","","12/ an","","","2.00","","","","1","Oui","100%","2 jours / an","Autre"
"Python for biology",""," Formation professionnelle","","","Analyse de séquences, Algorithmique des séquences","","","Formation payante dans le catalogue CNRS.
","https://cnrsformation.cnrs.fr/stage-17266-Python-pour-la-biologie.html?axe=65","CBiB","","","20/ an","","","8.00","Payante","","CNRS","2","Oui","","6 jours / an","Langage Python"
"Cycle « Initiation à la bioinformatique » - Module 4/4 : Initiation à la reconstruction phylogénétique en biologie moléculaire","https://www.france-bioinformatique.fr/sites/default/files/logo_bilille_complet_120_120_8.png"," Formation professionnelle","Formation ""Initiation à la reconstruction phylogénétique en biologie moléculaire""","bilille propose un cycle de découverte de la bioinformatique à destination des chercheurs, enseignants-chercheurs, ingénieurs, techniciens et doctorants en biologie. Aucun pré-requis en informatique n'est attendu.
Le cycle est constitué de quatre modules de deux jours:
- Banques de données et BLAST
- Alignement de séquences
- Prédiction de gènes et annotation de protéines
- Initiation à la reconstruction phylogénétique en biologie moléculaire
Ces modules peuvent être suivis indépendamment, mais ont une cohérence. Suivre chaque module peut aider à une meilleure compréhension des modules suivants.
Les fiches descriptives des différents modules sont accessibles sur le site web de bilille.
Les objectifs du module 4 sont :
- Comprendre les grands principes de l’évolution moléculaire et de la reconstruction phylogénétique
- Savoir construire des alignements informatifs pour une analyse phylogénétique
- Comprendre les modèles phylogénétiques probabilistes, les méthodes d'inférence et savoir les appliquer
- Savoir reconstruire des arbres phylogénétiques en Maximum de vraisemblance (ML) et par Inférence Bayésienne (BI)
- Etre capable d’analyser avec un regard critique les résultats obtenus
Contacts: Guillaume Brysbaert, Ségolène Caboche, Sylvain Legrand (mails)
","Analyse de séquences, Alignement (multiple) de séquences, Evolution et phylogénie, Evolution moléculaire, Datation des spéciations, Arbre de la vie","","","- Il est conseillé mais non nécessaire d’avoir suivi le module 1/4 « Banques de données et Blast » et le module 2/4 « Alignements de séquences » du cycle d'initiation à la bioinformatique.
","https://wikis.univ-lille.fr/bilille/formation","Université de Lille","","","12/ an","","","2.00","","","","1","Oui","100%","2 jours / an","Phylogénie"
"Initiation à Galaxy","https://www.france-bioinformatique.fr/sites/default/files/logo_bilille_complet_120_120_9.png"," Formation professionnelle","Formation ""Initiation à Galaxy""","bilille organise une formation d'initiation à Galaxy, destinée aux biologistes ou médecins désirant découvrir le traitement bioinformatique de données via une interface conviviale. Galaxy est très répandu pour l’analyse de données omiques, telles que données de séquençage ou données de puces à ADN. Cette initiation à Galaxy est une formation interne à bilille.
 
","Interfaces, portails web, Développement de workflows","","","","https://wikis.univ-lille.fr/bilille/formation","Université de Lille","","","12/ an","","","","","","","5","Oui","100%","1 jours / an","Framework Galaxy"
"Analyse de données metabarcoding","https://www.france-bioinformatique.fr/sites/default/files/Pre%CC%81sentation1.jpg"," Formation professionnelle","introduire les concepts clés liés aux analyses de metabarcoding et les illustrer au moyen de cas concrets d’analyse","Nous avons le plaisir de vous annoncer la tenue d'une formation sur l'analyse de données metabarcoding en mai 2018.
Celle-ci vous proposera : 
- une formation complète à l'outil FROGS sous Galaxy
- l'intervention de plusieurs experts du domaine avec exposés thématiques et tutoriaux 
- le tout sur 5j, du 14 au 18 mai prochain
Cette semaine thématique est co-organisée entre la cellule bioinformatique de l’ifremer à Brest, la plateforme MIGALE de Jouy et  la plate-forme ABiMS de Roscoff qui accueillera la formation.
Retrouver les détails du programme ici : 
http://tiny.ifremer.fr/formation-metabarcoding-2018
Si cette formation vous intéresse, merci de bien vouloir compléter le formulaire d'inscription (disponible dans le  lien ci-dessus).
----------------------------------------
We are pleased to announce a training on metabarcoding data analysis in May 2018.
This one will propose to you:
- complete training in the FROGS tool under Galaxy
- the intervention of several experts in the field with thematic presentations and tutorials
- all on  5days , from May 14 to 18
This theme week is co-organized with the IFREMER bioinformatic team (Brest) , the Migale bioinformatic platform(Jouy en Josas)  and  the ABiMS (Roscoff) bioinformatic platform and would take place in Roscoff..
Find the details of the program here:
http://tiny.ifremer.fr/formation-metabarcoding-2018
If you are interested in this training, please complete the registration form (see link above).
Trainning will be in French with slides in English.
","Analyse de données de séquençage NGS, Ecologie, Biodiversité, Ecologie microbienne","","14-05-2018 to 18-05-2018","Dates et lieu
Du 14 au 18 mai 2018
Station Biologique de Roscoff
Public visé
Doctorants, ITA, chercheurs, enseignants et ingénieurs impliqués dans des projets concrets d’analyse de données de metabarcoding.
Pré-requis
Avoir une connaissance de l'environnement Galaxy et un projet d'analyse de données de metabarcoding.
Nombre de participants attendus
18 participants.
Etant donné le nombre limité de places pour cette formation, une sélection des participants sera réalisée dans le cas où nous aurions reçu plus de 18 candidatures.
Frais d'inscription
600€ HT (tarif unique)
Ces frais d'inscription comprennent les déjeuners et diners qui seront pris au restaurant Gulf Stream à Roscoff.
","http://tiny.ifremer.fr/formation-metabarcoding-2018","ROSCOFF","","","18/ an","","","","","","","1","Non","","4 jours / an","Analyse des données NGS, Metagénomique"
"Cluster","","","","","","01-03-2018","07-03-2017","","","Salle de formation Inra","","","","9","0","1.00","Payante","","plateforme","","","","",""
"Unix","","","","","","01-03-2018","06-03-2017","","","Salle de formation Inra","","","","7","0","1.00","Payante","","plateforme","","","","",""
"Metagenomic amplicon analysis/Frogs","","","","","","01-03-2018","20-02-2017 to 23-02-2017","","","Salle de formation Inra","","","","10","0","4.00","Payante","","plateforme","","","","",""
"Read alignment and small size variants calling","","","","","","01-03-2018","08-03-2017 to 09-03-2017","","","Salle de formation Inra","","","","8","0","2.00","Payante","","plateforme","","","","",""
"Phylogénie","","","","","","01-03-2018","24-02-2017","","","LISBP","","","","10","0","1.00","Payante","","plateforme","","","","",""
"RNAseq alignment and transcript assemblies with statistics","","","","","","01-03-2018","16-05-2017 to 19-05-2017","","","Salle de formation Inra","","","","6","6","5.00","Gratuite","","plateforme","","","","",""
"Metagenomic amplicon analysis with stats","","","","","","01-03-2018","03-07-2017 to 06-07-2017","","","Salle de formation Inra","","","","10","0","4.00","Payante","","plateforme","","","","",""
"Metagenomic amplicon analysis with stats","","","","","","01-03-2018","06-11-2017 to 09-11-2017","","","Salle de formation Inra","","","","7","1","4.00","Payante","","plateforme","","","","",""
"Analyse RNA-seq sous Galaxy","","","","","","06-03-2018","06-03-2018","","","Rennes","","","","6","0","1.00","Gratuite","","plate-forme GenOuest ","","","90%","",""
"Introduction à R","","","","","","07-03-2018","18-10-2017 to 20-10-2017","","","Villeurbanne","","","","3","3","3.00","Payante","","Biosciences & Co","","","85%","",""
"Analyse de données NGS sous Galaxy","","","","","","08-03-2018","15-11-2017 to 17-11-2017","","","Villeurbanne","","","","8","4","2.50","Payante","","Biosciences & Co","","","64%","",""
"Introduction à Unix/Linux pour les biologistes","","","","","","08-03-2018","03-09-2017 to 15-10-2017","","","Lyon","","","","12","0","3.00","Gratuite","","Formation permanente CNRS","","","90%","",""
"Analyse RNA-seq de novo","","","","","","08-03-2018","22-11-2017 to 24-11-2017","","","Villeurbanne","","","","13","0","3.00","Gratuite","","Formation permanente UCBL","","","78%","",""
"Formation CeSGO","","","","","","08-03-2018","03-07-2017","","","Rennes","","","","4","","0.50","Gratuite","","plate-forme GenOuest","","","100%","",""
"Formation CeSGO","","","","","","08-03-2018","21-09-2017","","","Rennes","","","","6","0","0.50","Gratuite","","plate-forme GenOuest","","","100%","",""
"Initiation au cloud computing","","","","","","08-03-2018","02-11-2017","","","Rennes","","","","6","0","0.50","Gratuite","","plate-forme GenOuest","","","100%","",""
"Annotation and Analysis of Procaryotic genomes using the MicroScope platform","","","","","","08-03-2018","13-03-2017 to 17-03-2017","","","Faculté d'Evry Val d'Essonne","","","","12","0","4.50","Payante","","Université d'Evry","","","100%","",""
"Initiation à GO-Docker","","","","","","08-03-2018","18-04-2017","","","Rennes","","","","15","0","1.00","Gratuite","","plate-forme GenOuest","","","100%","",""
"Formation BioMAJ ","","","","","","08-03-2018","18-12-2017 to 19-12-2017","","","Vitry","","","","0","2","2.00","Payante","","plate-forme GenOuest","","","100%","",""
"Infrastructure de calcul et analyses en bio-informatique","","","","","","08-03-2018","23-10-2017 to 27-10-2017","","","Agrocampus Rennes","","","","33","0","5.00","Gratuite","","Agrocampus","","","100%","",""
"Développement d'outils galaxy pour l'imagerie","","","","","","08-03-2018","16-05-2017 to 17-05-2017","","","Nantes","","","","15","0","2.00","Gratuite","","INRA","","","100%","",""
"Galaxy - Initiation","","","","","","08-03-2018","15-03-2018","","","ROSCOFF","","","","9","","1.00","Gratuite","","ABiMS","","","","",""
"RNASeq with Galaxy","","","","","","08-03-2018","23-05-2017 to 24-05-2017","","","Roscoff","","","","11","","2.00","Payante","","formation permanente  Sorbonne Université","","","100%","",""
"R - Initiation","","","","","","08-03-2018","04-04-2017","","","ROSCOFF","","","","15","","1.00","Gratuite","","","","","100%","",""
"R - Advanced","","","","","","08-03-2018","05-04-2017","","","Roscoff","","","","16","","1.00","Gratuite","","","","","100%","",""
"Linux - Initiation","","","","","","08-03-2018","16-05-2017","","","Roscoff","","","","13","","1.00","Gratuite","","","","","100%","",""
"Linux advanced","","","","","","08-03-2018","17-05-2017","","","Roscoff","","","","14","","1.00","Gratuite","","","","","100%","",""
"Cluster - Usage ","","","","","","08-03-2018","18-05-2017","","","Roscoff","","","","13","","1.00","Gratuite","","","","","100%","",""
"Linux Initiation","","","","","","08-03-2018","28-11-2017","","","Roscoff","","","","12","","1.00","Gratuite","","","","","100%","",""
"Linux advanced","","","","","","08-03-2018","29-11-2017","","","Roscoff","","","","7","","1.00","Gratuite","","","","","100%","",""
"Cluster usage","","","","","","08-03-2018","04-12-2017","","","Roscoff","","","","8","","1.00","Gratuite","","","","","100%","",""
"Ecole AVIESAN ITMO EBA 2017","","","","","","08-03-2018","13-11-2017 to 17-11-2017","","","Roscoff","","","","40","","5.00","Payante","","AVISAN","","","100%","",""
"European Galaxy Developer Workshop","","","","","","08-03-2018","16-01-2017 to 19-01-2017","","","Strasbourg","","","","","","4.00","Gratuite","","IFB","","","","",""
"Workflow4Experimenters  ","","","","","","08-03-2018","29-05-2017 to 02-06-2017","","","Paris Pasteur","","","","25","","5.00","Gratuite","","","","","","",""
"Annotation and Analysis of Procaryotic genomes using the MicroScope platform","","","","","","08-03-2018","25-09-2017 to 29-09-2017","","","Université d'Evry Val d'Essonne","","","","8","0","4.50","Payante","","Université d'Evry","","","100%","",""
"MicroScope: formation avancée","","","","","","08-03-2018","04-12-2017 to 05-12-2017","","","Université d'Evry Val d'Essonne","","","","7","0","2.00","Payante","","Université d'Evry","","","100%","",""
"Initiation à l’Analyse des données RNAseq sous l’environnement Galaxy","","","","","","12-03-2018","08-11-2017 to 10-11-2017","","","Nantes","","","","10","0","2.50","Gratuite","","formation permanente INSERM","","","100%","",""
"6ème école de bioinformatique AVIESAN-IFB","","","","","","14-03-2018","12-11-2017","","","Roscoff","","","","","","5.00","Gratuite","","","","","","",""
"NGS et Cancer (Canceropôle) : Analyse DNASeq","","","","","","14-03-2018","14-03-2018","","","","","","","","","","Gratuite","","","","","","",""
"NGS et Cancer (Canceropôle) : Analyse A-RNASeq","","","","","","14-03-2018","14-03-2018","","","","","","","","","","Gratuite","","","","","","",""
"NGS et Cancer (Canceropôle) : Analyse épigénomique","","","","","","14-03-2018","14-03-2018","","","","","","","","","","Gratuite","","","","","","",""
"IFSBM (UFR medecine paris sud) : Big Data","","","","","","14-03-2018","14-03-2018","","","","","","","","","5.00","Gratuite","","","","","","",""
"Formation librairie GATB","","","","","","15-03-2018","16-06-2017","","","Montpellier","","","","18","2","1.00","Gratuite","","IBC - ATGC","","","100%","",""
"Bioinformatique pour le traitement de données de séquençage (NGS) ","","","","","","15-03-2018","27-03-2017 to 31-03-2017","","","Montpellier","","","","8","4","5.00","Payante","","CNRS Formation Entreprises","","","100%","",""
"Linux et script pour la bioinformatique ","","","","","","15-03-2018","07-11-2017 to 08-11-2017","","","Montpellier","","","","9","2","2.00","Payante","","CNRS Formation Entreprises","","","100%","",""
"How to use South Green HPC (IRD cluster)?","","","","","","15-03-2018","29-05-2017","","","IRD, Montpellier","","","","7","","0.50","Gratuite","","IRD","","","80%","",""
"How to use South Green HPC (IRD cluster)?","","","","","","15-03-2018","08-02-2017","","","Centre IRD Montpellier","","","","7","","0.50","Gratuite","","IRD","","","80%","",""
"How to use South Green HPC (IRD cluster)?","","","","","","15-03-2018","13-11-2017","","","Centre IRD Montpellier","","","","8","","0.50","Gratuite","","IRD","","","80%","",""
"Guide de survie à Perl pour la bioinformatique","","","","This course provides an introduction to programming using Perl and at the end of the training, participants could write simple Perl programs to handle biological data and to undertstand more complex Perl programs written by others.
			 
 
 
 
","","15-03-2018","02-10-2017 to 06-10-2017","","","ISRA, Dakar (Sénégal)","","","","20","","5.00","Gratuite","","Formation permanente IRD","","","80%","",""
"Administration système d'un cluster de calcul bioinformatique","","","","","","15-03-2018","02-10-2017 to 04-10-2017","","","ISRA, Dakar (Sénégal)","","","","4","","3.00","Gratuite","","Formation permanente IRD","","","80%","",""
"How to use a  bioinformatic HPC? ","","","","","","15-03-2018","06-10-2017","","","ISRA, Dakar (Sénégal)","","","","15","","1.00","Gratuite","","Formation permanente IRD","","","80%","",""
"Phylogénie moléculaire","","","","","","16-03-2018","09-10-2017 to 13-10-2017","","","Montpellier","","","","6","3","5.00","Payante","","CNRS Formation Entreprises","","","100%","",""
"Rendre ses outils disponibles sur un cloud OpenStack","","","","","","16-03-2018","20-06-2017","","","IBMP - Strasbourg","","","","10","","0.50","Gratuite","","Plateforme Bistro (IFB) + IBMP","","","100%","",""
"Utilisation des outils d'interprétation des données de protéomique MSDA et Proline","","","","","","16-03-2018","07-11-2017","","","IPHC - Strasbourg","","","","3","0","1.00","Gratuite","","Plateforme de Protéomique Strasbourg - Grand Est","","","100%","",""
"Initiation à R","","","","","","18-03-2018","05-03-2017 to 06-03-2017","","","Jouy en Josas","","","","10","0","2.00","Payante","","Plateforme Migale","","","100%","",""
"Initiation à Python","","","","","","18-03-2018","08-03-2017 to 09-03-2017","","","Jouy en Josas","","","","9","1","2.00","Payante","","Plateforme Migale","","","78%","",""
"Python avance","","","","","","18-03-2018","01-03-2017","","","Jouy en Josas","","","","5","1","1.00","Payante","","Plateforme Migale","","","67%","",""
"Initiation à Galaxy","","","","","","18-03-2018","13-03-2017","","","Jouy en Josas","","","","11","0","1.00","Payante","","Plateforme Migale","","","91%","",""
"NGS sous Galaxy","","","","","","18-03-2018","14-03-2017","","","Jouy en Josas","","","","8","1","1.00","Payante","","Plateforme Migale","","","95%","",""
"Analyse bioinformatique de données RNA-Seq sous Galaxy","","","","","","18-03-2018","15-03-2017","","","Jouy en Josas","","","","6","1","1.00","Gratuite","","Plateforme Migale","","","79%","",""
"Analyse statistique de données RNA-Seq - Recherche des régions d'intérêt différentiellement exprimées (R, RStudio et Galaxy)","","","","","","18-03-2018","16-03-2017 to 17-03-2017","","","Jouy en Josas","","","","11","0","2.00","Payante","","Plateforme Migale","","","91%","",""
": Analyse in silico de structures 3D de protéines. Modélisation par homologie de protéines homologues, sauvage et mutées, arrimage de ligands.","","","","","","18-03-2018","23-03-2017 to 24-03-2017","","","Jouy en Josas","","","","7","2","2.00","Payante","","Plateforme Migale","","","92%","",""
"Analyse de données métagénomiques 16S","","","","","","18-03-2018","27-03-2017 to 30-03-2017","","","Jouy en Josas","","","","11","0","4.00","Payante","","Plateforme Migale","","","87%","",""
" Traitement bioinformatique des données RNA-Seq","","","","","","18-03-2018","03-05-2017 to 04-05-2017","","","Jouy en Josas","","","","7","1","2.00","Payante","","Plateforme Migale","","","88%","",""
"Initiation à Perl","","","","","","18-03-2018","09-05-2017 to 10-05-2017","","","Jouy en Josas","","","","6","0","2.00","Payante","","Plateforme Migale","","","100%","",""
"Perl avancé","","","","","","18-03-2018","11-05-2017","","","Jouy en Josas","","","","5","0","1.00","Payante","","Plateforme Migale","","","75%","",""
"Annotation formelle pour la fouille de texte","","","","","","18-03-2018","02-05-2017","","","Jouy en Josas","","","","8","0","1.00","Payante","","Plateforme Migale","","","75%","",""
"Analyse de données métagénomiques 16S","","","","","","18-03-2018","20-06-2017 to 23-06-2017","","","Jouy en Josas","","","","9","2","4.00","Payante","","Plateforme Migale","","","78%","",""
"Data collection and registration of Patient organisations for Orphanet information scientists","","","","","","19-03-2018","19-09-2017","","","Paris (à distance","","","","","","0.50","Gratuite","","Orphanet Coordinating Team","","","","",""
"Data collection and registration of Expert Centres for Orphanet information scientists","","","","","","19-03-2018","15-09-2017","","","Paris (à distance)","","","","","","0.50","Gratuite","","Orphanet Coordinating Team","","","","",""
"Data collection and registration of Research Projects for Orphanet information scientists","","","","","","19-03-2018","22-09-2017","","","Paris (à distance)","","","","","","0.50","Gratuite","","Orphanet Coordinating Team","","","","",""
"Data collection and registration of Clinical Trials for Orphanet information scientists","","","","","","19-03-2018","25-09-2017","","","Paris (à distance)","","","","","","0.50","Gratuite","","Orphanet Coordinating Team","","","","",""
"Data collection and registration of Diagnostic tests for Orphanet information scientists","","","","","","19-03-2018","29-09-2017","","","Paris (à distance)","","","","","","0.50","Gratuite","","Orphanet Coordinating Team","","","","",""
"Training for Orphanet Junior Information Scientists","","","","","","19-03-2018","11-10-2017 to 13-10-2017","","","Paris, France","","","","","","2.00","Gratuite","","Orphanet Coordinating Team","","","","",""
"Training for Orphanet Senior Information Scientists","","","","","","19-03-2018","11-10-2017 to 13-10-2017","","","Paris, France","","","","","","2.00","Gratuite","","Orphanet Coordinating Team","","","","",""
"Workshop Web Viewers","","","","","","19-03-2018","28-06-2017","","","Laboratoire MTi, Paris","","","","10","0","1.00","Gratuite","","plateforme RPBS","","","","",""
"Assemblage de génome","","","","","","19-03-2018","06-11-2017","","","Université Montpellier 1","","","","30","","1.00","Gratuite","","Université Montpellier 1","","","","",""
"Détection  de  variants à partir de données NGS","","","","","","19-03-2018","19-03-2018","","","Université Montpellier 1","","","","30","","1.00","Gratuite","","","","","","",""
"Training on GnpIS for BreedWheat data","","","","","","19-03-2018","30-05-2017","","","Webinar","","","","11","4","0.50","Gratuite","","Plateforme URGI","","","100%","",""
"Training on annotation of transposable elements","","","","","","19-03-2018","06-06-2017 to 09-06-2017","","","INRA-URGI-Versailles","","","","14","0","4.00","Gratuite","","Plateforme URGI","","","100%","",""
"Training: Synteny data visualization into GnpIS","","","","","","19-03-2018","10-10-2017","","","Webinar","","","","7","0","0.50","Gratuite","","Plateforme URGI","","","100%","",""
"Standardizing phenotyping experimental data","","","","","","19-03-2018","18-10-2017","","","Webinar","","","","8","0","0.50","Gratuite","","Plateforme URGI","","","100%","",""
"Annotation of transposable elements (in the frame of Genome assembly and annotation course","","","","","","19-03-2018","22-06-2017","","","Ljubjana (Slovenie)","","","","30","0","0.50","Gratuite","","Elixir-Excelerate WP10.3","","","88%","",""
"Annotation of transposable elements (in the frame of Genome assembly and annotation course","","","","","","19-03-2018","26-10-2017","","","Lisbonne (Portugal)","","","","24","0","0.50","Gratuite","","Elixir-Excelerate WP10.3","","","92%","",""
"Module 2 : RNAseq bioinformatic from sequence to expression level smallRNA & isoform (eukaryote)","","","","","","19-03-2018","30-06-2017","","","Gif sur Yvette","","","","140","0","1.00","Gratuite","","Labex SPS","","","100%","",""
"Aterlier de Bioinformatique (participation à)","","","","","","19-03-2018","25-11-2018 to 29-11-2018","","","Roscoff","","","","40","1","5.00","Payante","","AVIESAN - IFB","","","","",""
"Rrr - Rapide IntRoduction à R (R pour la génomique)","","","","","","19-03-2018","06-03-2017 to 17-03-2017","","","ICM","","","","17","0","1.50","Gratuite","","PF","","","83%","",""
"Rrr - Rapide IntRoduction à R (R pour la génomique)","","","","","","19-03-2018","31-05-2017 to 02-06-2017","","","ICM","","","","6","0","1.50","Gratuite","","PF","","","90%","",""
"Analyse avancée de séquences","","","","","","20-03-2018","23-10-2017 to 25-10-2017","","","CBiB","","","","9","5","3.00","Payante","","formation permanente CNRS","","","70%","",""
"Fouille de données et analyse de données NGS avec R","","","","","","20-03-2018","20-11-2017 to 23-11-2017","","","CBiB","","","","5","3","4.00","Payante","","formation permanente CNRS","","","50%","",""
"Analyse avancée de séquences sur mesure","","","","","","20-03-2018","26-06-2017 to 27-06-2017","","","BIOMNIS, Lyon","","","","","4","2.00","Payante","","","","","75%","",""
"Introduction à la Phylogénie Moléculaire : Concepts, méthodes et interprétation","",""," Le C3BI propose des cours pour acquérir les notions théoriques de phylogénie et maitriser les outils et logiciels.","","","20-03-2018","18-12-2017 to 22-12-2017","","","Institut Pasteur","","","","20","","5.00","Gratuite","","","","","87%","",""
"Scientific Programming in Python","","","This course is intended for PhD students, engineers and research scientists willing to acquire knowledge in scientific programming","","","20-03-2018","20-03-2017 to 31-03-2017","","","Institut Pasteur","","","","10","0","10.00","Gratuite","","Institut Pasteur","","","95%","",""
